Time;Temperature;Humidity;Pressure;Accel_x;Accel_y;Accel_z;Rot_x;Rot_y;Rot_z;Mag_x;Mag_y;Mag_z;
40274.00;20.18;46.24;100.73;-0.96;-0.10;-0.16;-0.55;-0.43;-0.49;43.00;34.00;-23.00;
40461.00;20.18;46.23;100.73;-0.96;-0.15;-0.16;-0.55;0.37;0.06;42.00;32.00;-22.00;
40646.00;20.16;46.23;100.73;-0.96;-0.11;-0.18;0.92;0.55;-0.92;41.00;32.00;-21.00;
40831.00;20.18;46.21;100.73;-0.96;-0.12;-0.17;0.43;0.12;-1.16;44.00;33.00;-25.00;
41016.00;20.16;46.20;100.73;-0.96;-0.12;-0.16;0.85;0.61;-0.67;43.00;32.00;-25.00;
41201.00;20.16;46.20;100.73;-0.96;-0.10;-0.18;0.37;0.49;-0.37;44.00;33.00;-26.00;
41386.00;20.15;46.19;100.72;-0.96;-0.11;-0.17;-0.73;-0.73;-0.31;45.00;32.00;-22.00;
41573.00;20.15;46.18;100.73;-0.96;-0.13;-0.14;0.61;0.79;-0.55;42.00;33.00;-21.00;
41758.00;20.14;46.18;100.73;-0.96;-0.12;-0.18;0.79;0.61;-0.79;43.00;31.00;-23.00;
41943.00;20.14;46.16;100.73;-0.96;-0.11;-0.17;0.00;-0.37;-0.61;46.00;34.00;-20.00;
42129.00;20.14;46.16;100.72;-0.97;-0.10;-0.16;0.55;0.67;-0.55;41.00;34.00;-23.00;
42314.00;20.15;46.14;100.73;-0.96;-0.14;-0.18;-0.31;-0.06;-0.43;43.00;34.00;-22.00;
42501.00;20.14;46.14;100.72;-0.96;-0.12;-0.16;0.61;0.31;-0.67;43.00;34.00;-23.00;
42686.00;20.14;46.14;100.73;-0.96;-0.11;-0.17;0.37;0.37;-0.79;43.00;35.00;-22.00;
42871.00;20.12;46.12;100.73;-0.96;-0.13;-0.17;-0.61;-0.37;-0.37;44.00;33.00;-32.00;
43058.00;20.11;46.12;100.73;-0.96;-0.12;-0.15;2.26;1.28;-1.83;39.00;33.00;-24.00;
43243.00;20.11;46.12;100.73;-0.96;-0.09;-0.20;-0.85;0.06;0.31;44.00;31.00;-24.00;
43428.00;20.11;46.10;100.73;-0.97;-0.14;-0.15;0.12;-0.24;-1.04;44.00;32.00;-24.00;
43614.00;20.09;46.10;100.73;-0.96;-0.09;-0.16;0.92;0.92;-0.79;43.00;32.00;-25.00;
43799.00;20.09;46.08;100.73;-0.96;-0.10;-0.18;-0.67;-0.24;-0.12;45.00;32.00;-27.00;
43986.00;20.09;46.08;100.73;-0.96;-0.14;-0.15;0.92;0.31;-1.53;42.00;32.00;-21.00;
44171.00;20.09;46.08;100.73;-0.96;-0.10;-0.16;0.31;0.43;-0.37;43.00;31.00;-24.00;
